	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
287.872	1	2	2	2	2	2	1
287.878	1	2	0	2	2	2	1
287.883	1	2	0	2	2	2	1
287.884	1	2	0	2	2	2	0
287.8875	1	1	1	1	1	2	1
287.8884	1	1	2	1	1	1	1
287.888	1	2	0	2	2	2	1
287.889	1	2	1	2	2	2	1
287.896	1	2	0	2	2	2	0
287.897	1	2	1	2	2	2	0
287.900	1	2	0	2	2	2	0
287.903	1	2	0	2	2	2	0
287.908	1	2	0	2	2	2	0
287.909	1	2	0	2	2	2	0
287.910	1	2	0	2	2	2	1
287.911	1	2	0	2	2	2	0
287.912	1	2	0	2	2	2	1
287.913	1	2	0	2	2	2	0
287.916	1	2	1	2	2	2	1
287.918	1	2	2	2	2	2	1
287.925	1	2	0	2	2	2	0
287.929	1	2	0	2	2	2	1
287.934	1	2	1	2	2	2	1
287.951	1	2	2	2	2	2	1
287.954	1	2	0	2	2	2	1
287.955	1	2	0	2	2	2	0
287.956	1	2	0	2	2	2	2
287.958	1	2	0	2	2	2	1
287.964	1	2	0	2	2	2	1
287.965	1	2	0	2	2	2	0
287.966	1	2	0	2	2	2	1
287.972	1	2	0	2	2	2	1
287.974	1	2	1	2	2	2	1
287.975	1	2	1	2	2	2	1
287.979	1	2	0	2	2	2	1
287.982	1	2	1	2	2	2	1
287.983	1	2	0	2	2	2	0
287.987	1	2	0	2	2	2	1
287.993	1	2	0	2	2	2	1
287.995	1	2	0	2	2	2	1
287.996	1	2	0	2	2	2	1
287.997	1	2	0	2	2	2	0
1163395.3	0	0	0	0	0	2	2
1402485.3	0	0	0	0	0	2	2
1402486.3	0	0	0	0	0	2	2
1402487.3	0	0	0	0	0	2	2
1402488.3	0	0	0	0	0	2	2
1402489.3	0	0	0	0	0	2	2
1402493.3	0	0	0	0	0	2	2
1402495.3	0	0	0	0	0	2	2
1402497.3	0	0	0	0	0	2	2
1402498.3	0	0	0	0	0	2	2
1402504.3	0	0	0	0	0	2	2
1402509.3	0	0	0	0	0	2	2
1402510.3	0	0	0	0	0	2	2
1402511.3	0	0	0	0	0	2	2
1402512.3	0	1	0	0	0	2	2
1402513.3	0	0	0	0	0	2	2
1402514.3	0	0	0	0	0	2	2
1402515.3	0	0	0	0	2	2	2
1402516.3	0	0	0	0	0	2	2
1402518.3	0	0	0	0	2	2	2
1402519.3	0	0	0	0	0	2	2
1402520.3	0	0	0	0	0	2	2
1402521.3	0	1	0	0	0	2	2
1402522.3	0	0	0	0	0	2	2
1402523.3	0	0	0	0	0	2	2
1402524.3	0	0	0	0	0	2	2
1402525.3	0	0	0	0	0	2	2
1402526.3	0	1	2	2	0	2	2
1402527.3	0	0	0	0	0	2	2
1402528.3	0	0	0	0	0	2	2
1402529.3	0	0	0	0	0	2	2
1402530.3	0	0	0	0	0	2	2
1402531.3	0	0	0	0	0	2	2
1402532.3	0	0	0	0	0	2	2
1402534.3	0	1	0	0	0	2	2
1402535.3	0	0	0	0	0	2	2
1402537.3	0	0	0	0	0	2	2
1402538.3	0	0	0	0	0	2	2
1402539.3	0	0	0	0	0	2	2
1402542.3	0	0	0	0	0	2	2
1402543.3	0	0	0	0	0	2	2
1402545.3	0	0	0	0	0	2	2
1402546.3	0	0	0	0	0	2	2
1402547.3	0	0	0	0	0	2	2
1402549.3	0	0	0	0	0	2	2
1402550.3	0	0	0	0	0	2	2
1402551.3	0	0	0	0	0	2	2
1402552.3	0	0	0	0	0	2	2
1402553.3	0	1	0	0	0	2	2
1402554.3	0	0	0	0	0	2	2
1402555.3	0	2	0	0	0	2	2
1402556.3	0	0	0	0	0	2	2
1402557.3	0	0	0	0	0	2	2
1402559.3	0	0	0	0	0	2	2
1402560.3	0	0	0	0	0	2	2
1402561.3	0	0	0	0	0	2	2
1402562.3	0	0	0	0	0	2	2
1402563.3	0	0	0	0	0	2	2
1402564.3	0	0	0	0	0	2	2
1402565.3	0	0	0	0	0	2	2
1402566.3	0	0	0	0	0	2	2
1402567.3	0	0	0	0	0	2	2
1402568.3	0	0	0	0	0	2	2
1402569.3	0	0	0	0	0	2	2
1402570.3	0	0	0	0	0	2	2
1402571.3	0	0	0	0	0	2	2
1402572.3	0	0	0	0	0	2	2
1402573.3	0	0	0	0	0	2	2
1402574.3	0	0	0	0	0	2	2
1402575.3	0	0	0	0	0	2	2
1402576.3	0	0	0	0	0	2	2
1402577.3	0	0	0	0	0	2	2
1402578.3	0	0	0	0	0	2	2
1402581.3	0	0	0	0	0	2	2
1402582.3	0	0	0	0	0	2	2
1418237.3	0	0	0	0	0	2	2
1418238.3	0	0	0	0	0	2	2
1418240.3	0	0	0	0	0	2	2
1418241.3	0	0	0	0	0	2	2
1418242.3	0	1	0	0	0	2	2
1418243.3	0	1	0	0	0	2	2
1418244.3	0	0	0	0	0	2	2
1418245.3	0	0	0	0	0	2	2
1418247.3	0	0	0	0	0	2	2
1447528.3	0	0	0	0	0	2	2
1447529.3	0	0	0	0	0	2	2
1447530.3	0	0	0	0	0	2	2
1447531.3	0	0	0	0	0	2	2
1447532.3	0	0	0	0	0	2	2
1447533.3	0	0	0	0	0	2	2
1447534.3	0	0	0	0	0	2	2
1447535.3	0	0	0	0	0	2	2
1447536.3	0	0	0	0	0	2	2
1447537.3	0	0	0	0	0	2	2
1447538.3	0	0	0	0	0	2	2
1447539.3	0	0	0	0	0	2	2
1447540.3	0	0	0	0	0	2	2
1447541.3	0	0	0	0	0	2	2
1447543.3	0	0	0	0	0	2	2
1447544.3	0	0	0	0	0	2	2
287.1001	0	2	0	2	2	2	1
287.1003	0	2	0	2	2	2	0
287.1005	0	2	0	2	2	2	0
287.1006	0	2	0	2	2	2	0
287.1008	0	2	0	2	2	2	0
287.1009	0	2	0	2	2	2	0
287.1012	0	2	0	2	2	2	0
287.1014	0	2	0	2	2	2	0
287.1015	0	2	0	2	2	2	0
287.1020	0	2	0	2	2	2	0
