	ciprofloxacin	cefoxitin	tobramycin	ceftazidime	aztreonam	cefepime	amoxicillin	trimethoprim	piperacillin_tazobactam	gentamicin	cefotaxime	cefuroxime	trimethoprim_sulfamethoxazole	ampicillin
562.23134	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23141	1	2	2	0	2	2	1	2	0	1	2	0	2	2
562.23144	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23159	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23167	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23170	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23181	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23189	1	2	2	0	2	2	1	2	2	0	1	1	2	2
562.23191	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23194	1	2	2	0	2	2	1	2	0	0	1	1	2	2
562.23195	1	2	2	0	2	2	1	2	2	0	1	1	2	2
562.23199	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23200	1	2	2	0	2	2	1	2	1	0	0	1	2	2
562.23205	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23212	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23226	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23229	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23231	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23233	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23239	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23248	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23255	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23259	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23261	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23272	1	2	2	2	2	2	1	2	2	0	0	1	2	2
562.23273	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23282	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23284	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23286	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23287	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23288	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23305	1	2	2	0	2	2	1	2	0	1	0	1	2	2
562.23306	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23307	1	2	2	0	2	2	1	2	0	2	0	0	2	2
562.23311	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23314	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23317	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23321	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23330	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23338	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23344	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23348	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23351	1	2	2	0	2	2	1	2	0	2	0	1	2	2
562.23355	1	2	2	0	2	2	0	2	0	2	0	0	2	2
562.23356	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23359	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23365	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23367	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23369	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23371	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23373	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23375	1	2	2	0	2	2	1	2	0	0	1	1	2	2
562.23377	1	2	2	0	2	2	1	2	0	0	1	1	2	2
562.23384	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23385	1	2	2	0	2	2	1	2	1	0	0	1	2	2
562.23387	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23391	1	2	2	1	2	2	1	2	1	1	1	1	2	2
562.23393	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23395	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23396	1	2	2	1	2	2	1	2	2	0	1	1	2	2
562.23398	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23399	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23403	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23410	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23413	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23428	1	2	2	1	2	2	1	2	2	0	1	1	2	2
562.23434	1	2	2	0	2	2	1	2	1	2	0	0	2	2
562.23435	1	2	2	0	2	2	1	2	2	0	0	1	2	2
562.23451	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23452	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23454	1	2	2	2	2	2	1	2	2	0	1	1	2	2
562.23457	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23458	1	2	2	2	2	2	1	2	2	0	1	1	2	2
562.23461	1	2	2	2	2	2	1	2	1	0	1	1	2	2
562.23462	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23463	1	2	2	2	2	2	1	2	2	0	1	1	2	2
562.23470	1	2	2	0	2	2	1	2	1	0	0	1	2	2
562.23474	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23478	1	2	2	0	2	2	1	2	1	1	0	0	2	2
562.23480	1	2	2	0	2	2	0	2	0	1	0	0	2	2
562.23481	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23486	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23487	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23488	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23494	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23499	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23501	1	2	2	1	2	2	1	2	1	0	1	1	2	2
562.23505	1	2	2	2	2	2	1	2	2	0	1	1	2	2
562.23507	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23508	1	2	2	1	2	2	1	2	0	0	1	1	2	2
