	chloramphenicol	erythromycin	penicillin	trimethoprim_sulfamethoxazole	tetracycline
1313.6133	0	2	2	2	1
1313.6135	0	1	2	2	1
1313.6144	0	2	2	2	1
1313.6156	0	2	2	2	1
1313.6159	0	2	2	2	2
1313.6195	0	2	2	2	1
1313.6203	0	2	2	2	2
1313.6221	0	2	2	2	1
1313.6222	0	2	2	2	1
1313.6232	0	2	2	2	1
1313.6253	0	2	2	2	1
1313.6257	0	2	2	2	1
1313.6262	0	2	2	2	1
1313.6271	0	2	2	2	1
1313.6275	0	1	2	2	1
1313.6281	0	2	2	2	1
1313.6282	0	2	2	2	1
1313.6288	0	2	2	2	1
1313.6301	0	2	2	2	1
1313.6334	0	2	2	2	1
1313.6342	0	0	2	2	0
1313.6359	0	2	2	2	2
1313.6369	0	2	2	2	1
1313.6371	0	1	1	2	1
1313.6374	0	2	2	2	1
1313.6390	0	2	2	2	1
1313.6397	0	1	1	2	1
1313.6406	0	2	2	2	1
1313.6409	0	2	2	2	1
1313.6416	0	2	2	2	1
1313.6427	0	2	2	2	1
1313.6434	0	2	2	2	1
1313.6451	0	2	2	2	1
1313.6458	0	2	2	2	1
1313.6466	0	2	2	2	1
1313.6470	0	1	2	2	1
1313.6676	0	0	2	2	1
1313.6680	0	2	2	2	2
1313.6704	0	0	2	2	1
1313.6712	0	1	2	2	1
1313.6719	0	1	2	2	1
1313.6727	0	2	2	2	1
1313.6732	0	2	2	2	1
1313.6733	0	2	2	2	1
1313.6734	0	2	2	2	1
1313.6735	0	2	2	2	1
1313.6740	0	2	2	2	1
1313.6743	0	2	2	2	1
1313.6744	0	2	2	2	1
1313.6745	0	2	2	2	1
1313.6747	0	2	2	2	1
1313.6748	0	2	2	2	1
1313.6749	0	2	2	2	1
1313.6752	0	2	2	2	1
1313.6753	0	2	2	2	1
1313.6754	0	2	2	2	1
1313.6757	0	2	2	2	1
1313.6759	0	2	2	2	1
1313.6765	0	2	2	2	1
1313.6768	0	2	2	2	1
1313.6771	0	0	1	2	1
1313.6772	0	2	2	2	1
1313.6773	0	2	2	2	1
1313.6862	0	1	2	2	1
1313.6939	0	0	0	0	2
1313.6941	0	0	0	0	0
1313.6942	0	1	0	0	2
1313.6944	0	0	0	0	2
1313.6947	0	0	0	0	2
1313.7001	0	1	0	2	0
1313.7002	0	1	0	2	0
1313.7006	0	1	1	1	1
1313.7007	0	0	0	0	2
1313.7009	0	0	0	0	2
1313.7010	0	0	0	1	2
1313.7011	0	0	0	2	2
1313.7012	0	0	0	0	2
1313.7013	0	1	0	0	2
1313.7015	0	0	0	0	2
1313.7016	0	1	1	1	2
1313.7017	0	0	0	0	2
1313.7018	0	1	1	1	2
1313.7019	0	0	0	0	2
1313.7020	0	0	0	2	2
1313.7021	0	0	0	0	2
1313.7022	0	0	0	0	2
760742.3	0	1	0	0	0
760743.3	0	1	0	0	0
760744.3	0	1	2	2	0
760745.3	0	1	2	1	0
760746.3	0	1	2	1	0
760747.3	0	0	0	1	0
760748.3	0	1	2	1	1
760749.3	0	1	1	1	0
760750.3	0	0	2	0	1
760754.3	0	1	0	0	0
760755.3	0	1	0	0	0
760756.3	0	0	0	1	0
760758.3	0	1	2	1	0
760760.3	0	0	0	0	0
760764.3	0	0	0	1	0
760766.3	0	1	1	1	0
760767.3	0	0	0	0	0
760769.3	0	1	1	1	0
760771.3	0	1	1	1	1
760773.3	0	0	0	0	0
760774.3	0	0	0	0	0
760775.3	0	0	0	2	0
760776.3	0	1	1	1	0
760777.3	0	0	1	1	0
760778.3	0	1	1	1	1
760779.3	0	1	2	1	1
760780.3	0	1	2	1	0
760781.3	0	1	2	1	0
760782.3	0	1	2	2	1
760784.3	0	1	0	2	1
760785.3	0	1	2	1	0
760786.3	0	1	1	1	1
