	tetracycline	trimethoprim_sulfamethoxazole	clindamycin	ciprofloxacin	methicillin	oxacillin	gentamicin	erythromycin	penicillin
1280.10028	0	2	2	0	0	2	0	0	1
1280.10029	0	2	2	0	0	2	0	0	0
1280.10030	0	2	2	0	0	2	0	0	0
1280.10031	0	2	2	0	0	2	0	0	0
1280.10032	0	2	2	0	0	2	0	0	1
1280.10033	0	2	2	0	0	2	0	0	1
1280.10034	0	2	2	0	0	2	0	0	1
1280.10035	0	2	2	1	0	2	0	0	1
1280.10036	0	2	2	0	0	2	0	0	1
1280.10037	0	2	2	0	0	2	0	0	1
1280.10039	0	2	2	0	0	2	0	0	1
1280.10040	0	2	2	0	0	2	0	1	0
1280.10041	0	2	2	0	0	2	0	0	1
1280.10042	0	2	2	0	0	2	0	0	1
1280.10043	0	2	2	0	0	2	0	0	1
1280.10044	0	2	2	0	0	2	0	0	0
1280.10046	0	2	2	0	0	2	0	0	1
1280.10047	0	2	2	0	0	2	0	0	1
1280.10048	0	2	2	0	0	2	0	0	1
1280.10049	0	2	2	0	0	2	0	0	0
1280.15930	0	0	0	1	2	1	0	0	1
1280.15931	0	0	0	1	2	1	0	1	1
1280.15938	0	0	0	0	2	0	0	0	2
1280.15939	0	0	0	0	2	2	1	0	2
1280.16051	0	0	0	0	2	0	0	0	2
1280.16052	0	0	0	0	2	0	0	0	2
1280.16061	0	0	0	2	2	0	0	0	1
1280.16384	0	0	0	2	2	0	0	0	1
1280.16385	0	0	0	2	2	0	0	0	1
1280.16387	0	0	1	2	2	0	0	1	1
1280.16436	0	0	1	0	2	0	0	0	2
1280.16548	0	0	1	2	2	1	0	1	1
1280.16549	0	0	0	2	2	1	0	0	1
1280.16551	0	0	0	2	2	1	0	1	1
1280.16553	0	0	0	2	2	0	0	0	1
1280.16555	0	0	1	2	2	0	0	1	1
1280.16556	0	0	0	2	2	1	0	1	1
1280.16557	0	0	1	2	2	0	0	1	1
1280.16558	0	0	1	2	2	1	0	1	1
1280.16566	0	0	0	2	2	1	0	1	1
1280.16567	0	0	1	2	2	0	0	1	1
1280.16568	0	0	1	2	2	1	0	1	1
1280.16569	0	0	0	2	2	0	0	0	1
1280.16570	0	0	1	2	2	1	0	1	1
1280.16759	0	0	1	2	2	1	0	1	1
1280.16760	0	0	1	2	2	1	0	1	1
1280.16762	0	0	1	2	2	1	0	1	1
1280.16768	0	0	0	2	2	1	0	1	1
1280.17656	0	0	1	2	2	1	0	1	1
1280.17671	0	0	1	2	2	1	1	1	1
1280.19784	0	0	0	1	2	2	0	0	2
1280.19785	0	2	0	0	2	2	0	0	1
1280.19786	0	1	0	2	2	1	0	0	1
1280.21073	0	0	0	0	2	0	0	0	2
1280.21074	0	0	0	0	2	0	0	0	2
1280.21075	0	0	0	0	2	0	0	0	2
1280.4998	0	0	0	2	2	0	0	0	1
1280.7372	0	0	1	0	2	2	1	1	2
1280.7373	0	0	1	0	2	2	1	1	2
1280.7377	0	2	1	1	1	2	0	1	1
1280.7383	0	2	2	0	0	2	0	0	1
1280.7384	0	2	2	0	0	2	0	0	1
1280.7391	0	2	2	0	0	2	0	0	1
1280.7392	0	2	2	0	0	2	0	0	0
1280.7399	0	2	0	0	0	2	0	0	1
1280.7402	0	2	2	0	0	2	0	0	0
1280.7403	0	2	2	0	0	2	0	0	1
1280.7404	0	2	0	0	0	2	0	0	1
1280.7405	0	2	0	0	0	2	0	0	1
1280.7406	0	2	2	0	0	2	0	0	1
1280.7407	0	2	0	0	0	2	0	0	1
1280.7408	0	2	1	1	1	2	0	1	1
1280.7411	0	2	1	1	1	2	0	1	1
1280.7413	0	2	1	1	1	2	0	1	1
1280.7414	0	2	2	0	0	2	0	0	1
1280.7415	0	2	2	0	0	2	0	0	1
1280.7416	0	2	2	0	0	2	0	0	1
1280.7419	0	2	2	1	1	2	0	0	1
1280.7422	0	2	2	0	0	2	0	0	1
1280.7424	0	2	2	1	1	2	0	1	1
1280.7429	0	2	2	1	1	2	0	1	1
1280.7432	0	2	2	1	1	2	0	1	1
1280.7433	0	2	2	0	0	2	0	0	1
1280.7435	0	2	2	0	0	2	0	0	1
1280.7436	0	2	2	0	0	2	0	0	1
1280.7438	0	2	2	0	0	2	0	0	0
1280.7439	0	2	0	0	0	2	0	0	1
1280.7440	0	2	0	0	0	2	0	0	1
1280.7441	0	2	0	0	0	2	0	0	1
1280.7443	0	2	0	0	0	2	0	0	1
1280.7444	0	2	1	1	1	2	0	1	1
1280.7445	0	2	1	1	1	2	0	1	1
1280.7446	0	2	0	0	0	2	0	0	1
1280.7447	0	2	0	0	0	2	0	0	1
1280.7456	0	2	2	1	1	2	0	1	1
1280.7908	0	2	2	0	0	2	0	0	0
1280.7912	0	2	2	0	0	2	0	0	1
1280.7913	0	2	2	0	0	2	0	0	0
1280.7914	0	2	2	0	0	2	0	0	1
1280.7915	0	2	2	0	0	2	0	0	1
1280.7916	0	2	2	0	0	2	0	0	1
1280.7917	0	2	2	0	0	2	0	0	1
1280.7920	0	2	2	0	0	2	0	0	1
1280.7922	0	2	2	1	0	2	0	0	1
1280.7923	0	2	2	0	0	2	0	0	1
1280.7925	0	2	2	0	0	2	0	0	1
1280.7928	0	2	2	0	0	2	0	0	1
1280.7929	0	2	2	0	0	2	0	0	1
1280.7930	0	2	2	0	0	2	0	0	1
1280.7933	0	2	2	0	0	2	0	0	0
1280.7935	0	2	2	0	0	2	0	0	0
