	ceftazidime	levofloxacin	tetracycline	cefazolin	gentamicin	trimethoprim_sulfamethoxazole	ceftriaxone	amikacin	aztreonam	piperacillin_tazobactam	meropenem	cefepime	imipenem	cefoxitin	ciprofloxacin	ertapenem	tobramycin
573.13017	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	2	0
573.13019	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	2	0
573.13021	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0
573.13023	1	1	2	1	0	1	1	2	1	1	0	1	0	0	1	2	1
573.13024	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	2	2
573.13025	1	0	1	1	1	1	1	0	1	2	0	2	2	0	1	2	1
573.13028	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	2	2
573.13031	1	0	1	1	1	1	1	0	1	2	0	1	0	0	1	2	1
573.13032	1	0	1	1	1	1	1	0	1	2	0	2	0	0	2	2	1
573.13033	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	2	0
573.13034	1	1	0	1	0	1	1	1	1	1	1	2	1	1	1	2	1
573.13035	1	1	1	1	1	1	1	0	1	1	0	2	0	1	1	2	1
573.13036	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	2	1
573.13037	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1
573.13038	1	0	1	1	1	1	1	0	1	0	0	1	0	0	2	2	1
573.13039	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	2	1
573.13040	1	1	0	1	0	1	1	2	1	2	0	2	0	0	1	2	1
573.13041	1	1	0	1	2	1	2	1	2	1	0	2	0	2	1	2	1
573.13042	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13043	1	0	1	1	1	1	1	0	0	1	0	2	0	1	1	2	1
573.13044	1	1	0	1	2	1	2	1	1	1	2	1	2	2	1	2	1
573.13045	1	1	0	1	0	1	2	2	2	1	0	0	0	0	1	2	1
573.13047	1	0	1	1	0	1	1	0	2	0	0	1	0	0	1	2	2
573.13048	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	2	2
573.13049	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	2	0
573.13051	1	1	0	1	0	1	1	1	1	0	0	2	0	2	1	2	1
573.13052	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13053	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13054	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	2	2
573.13055	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	2	2
573.13058	1	0	0	1	2	0	1	0	1	0	0	0	0	0	2	2	2
573.13059	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	2	2
573.13060	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	2	0
573.13061	1	1	1	1	1	0	1	0	1	2	0	1	0	1	1	2	0
573.13062	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	2	0
573.13063	1	1	2	1	0	1	1	0	1	1	1	1	1	1	1	2	0
573.13064	1	1	1	1	0	1	1	0	1	2	0	1	0	1	1	2	2
573.13065	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13066	1	1	0	1	0	1	1	2	1	0	0	0	0	0	1	2	1
573.13067	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13068	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	2	1
573.13069	1	1	0	1	1	1	1	1	1	1	0	1	0	2	1	2	1
573.13070	1	1	0	1	0	0	1	0	1	0	0	2	0	2	1	2	1
573.13071	1	1	0	1	0	1	1	0	1	0	0	2	0	0	1	2	1
573.13072	1	1	0	1	1	1	1	0	1	1	0	1	0	0	1	2	1
573.13073	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	2	0
573.13074	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	2	1
573.13075	1	1	0	1	1	1	1	0	1	1	1	2	1	1	1	2	0
573.13076	1	1	1	1	0	1	1	2	1	1	0	0	0	0	1	2	1
573.13077	1	1	1	1	2	1	1	0	0	0	0	0	0	0	1	2	0
573.13079	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13080	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	2	1
573.13081	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	2	0
573.13082	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	2	2
573.13083	1	1	0	1	0	1	1	2	1	1	2	1	0	1	1	2	1
573.13084	1	1	1	1	0	1	1	2	1	1	0	1	0	1	1	2	1
573.13085	1	1	0	1	0	1	1	2	1	0	0	2	0	0	1	2	1
573.13086	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	2	2
573.13087	1	1	1	1	1	1	1	0	1	1	0	2	0	1	1	2	0
573.13088	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13089	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	2	0
573.13090	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	2	0
573.13091	1	0	0	1	1	1	1	0	0	2	0	2	0	0	1	2	1
573.13092	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	2	0
573.13093	1	1	1	1	0	1	1	0	1	1	0	1	0	2	1	2	2
573.13094	1	1	1	1	1	1	1	0	1	1	2	1	0	1	1	2	1
573.13095	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	2
573.13096	1	1	0	1	0	1	1	2	1	1	1	1	1	1	1	2	1
573.13097	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	2	0
