ARO Accession	CVTERM ID	ARO Name	PMID	DOI	ISBN
ARO:3000025	36034	patB	20709735;20937787
ARO:3003288	39872	Escherichia coli rpoB mutants conferring resistance to rifampicin	31992637;3050121
ARO:3002578	38978	AAC(6')-Ib7	9527761
ARO:3003291	39875	Staphylococcus aureus rpoC conferring resistance to daptomycin	16723576
ARO:3003292	39876	fluoroquinolone resistant gyrA	22279180;22371897;12499219;1850972;9293187
ARO:3003294	39878	Escherichia coli gyrA conferring resistance to fluoroquinolones	2548439;2168148;8388197;7840592;25631675;1850972
ARO:3003295	39879	Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones	;35944069;30337678;27847014;16584301;17434825;19687244;17015625;16377674;17035499;8031045;21300839		978-92-4-008241-0
ARO:3003296	39880	Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	21996946
ARO:3003297	39881	Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones	12499219
ARO:3003298	39882	Mycobacterium leprae gyrA conferring resistance to fluoroquinolones	15603834
ARO:3003301	39885	Staphylococcus aureus gyrB conferring resistance to aminocoumarin	16127057
ARO:3003302	39886	Bartonella bacilliformis gyrB conferring resistance to aminocoumarin	9797224
ARO:3003303	39887	Escherichia coli gyrB conferring resistance to aminocoumarin	1323022
ARO:3003304	39888	Mycobacterium leprae gyrB conferring resistance to fluoroquinolones	23071850
ARO:3003267	39851	Mycobacterium smegmatis 16S rRNA mutation conferring resistance to streptomycin	11557484
ARO:3003268	39852	Mycobacterium smegmatis 16S rRNA mutation conferring resistance to hygromycin B	12709313
ARO:3003269	39853	Mycobacterium smegmatis 16S rRNA mutation conferring resistance to kanamycin A	9244267
ARO:3003270	39854	Mycobacterium smegmatis 16S rRNA mutation conferring resistance to neomycin	9244267
ARO:3003272	39856	daptomycin resistant cls	9370333;23114777
ARO:3003275	39859	Daptomycin sensitive cardiolipin synthetase	21899450
ARO:3003278	39862	daptomycin sensitive beta-subunit of RNA polymerase (rpoB)	20837752
ARO:3003279	39863	antibiotic resistant liaFSR system	19251860
ARO:3003280	39864	antibiotic sensitive mprF	20498310;16723576
ARO:3003281	39865	antibiotic sensitive pgsA	21709092
ARO:3003239	39823	Mycobacteroides abscessus 16S rRNA mutation conferring resistance to amikacin	21652621;9607835
ARO:3003240	39824	Mycobacteroides abscessus 16S rRNA mutation conferring resistance to gentamicin	21652621;9607835
ARO:3003241	39825	teixobactin	25561178
ARO:3003440	40024	mecB	24302651
ARO:3002410	38810	OXY-4-1	12807183
ARO:3002538	38938	AAC(3)-IIIc	8385262
ARO:3003200	39784	AAC(6')-Ian	25576529
ARO:3003575	40185	LpxD	24189257;20855724
ARO:3003585	40195	Klebsiella mutant PhoP conferring antibiotic resistance to colistin	25733503
ARO:3003568	40178	magainin B	2285300
ARO:3003569	40179	magainin G	2285300
ARO:3003570	40180	magainin H	2285300
ARO:3003571	40181	magainin 1	3277183
ARO:3003573	40183	LpxA	24189257;20855724
ARO:3003574	40184	LpxC	24189257;20855724
ARO:3003576	40186	eptA	15205413
ARO:3003579	40189	basRS	24412662
ARO:3003581	40191	Acinetobacter mutant Lpx gene conferring resistance to colistin	21402838;24189257
ARO:3003582	40192	basR	25006521;24412662
ARO:3003583	40193	basS	14507375;25006521
ARO:3003008	39442	CeoAB-OpcM	16857052
ARO:3002390	38790	OXY-1-2	16048960
ARO:3000197	36336	tet(36)	12839793
ARO:3002391	38791	OXY-1-3	12807183
ARO:3002392	38792	OXY-1-4	12807183
ARO:3000130	36269	edeine A	14731399;70202;4984939
ARO:3002411	38811	OXY-5-1	16048960
ARO:3002412	38812	OXY-5-2	16048960
ARO:3002540	38940	AAC(3)-VIa	8257126;19949054
ARO:3000035	36175	lipopeptide antibiotic	19156787
ARO:3000036	36176	tetracycline inactivation enzyme	24497223
ARO:3002541	38941	AAC(3)-VIIa	2914849
ARO:3000037	36177	Pfam-HMM	20180275;19920124
ARO:3000841	37221	CGB-1	12183230
ARO:3000846	37226	SIM-1	16251286
ARO:3000851	37231	THIN-B	15561856
ARO:3000853	37233	AIM-1	22985886
ARO:3000842	37222	EBR-1	12234848
ARO:3000847	37227	KHM-1	18765691
ARO:3000854	37234	SMB-1	22442240
ARO:3000843	37223	MUS-1	12384365
ARO:3000855	37235	CAU-1	12019096
ARO:3002542	38942	AAC(3)-VIIIa	2060791
ARO:3002414	38814	OXY-6-2	16048960
ARO:3002425	38825	OKP-A-8	16304190
ARO:3002426	38826	OKP-A-9	16304190
ARO:3000060	36199	IND beta-lactamase	10077836
ARO:3000080	36219	aminonucleoside antibiotic	8576156
ARO:3002519	38919	OCH-6	11451692
ARO:3002433	38833	OKP-A-16	22143810
ARO:3002543	38943	AAC(3)-IXa	2060791
ARO:3002422	38822	OKP-A-5	16304190
ARO:3000089	36228	AER beta-lactamase	9687391
ARO:3000090	36229	Bla1	27557855;12760895
ARO:3000629	36973	bacitracin A	6752975
ARO:3000630	36974	bacitracin B	6752975
ARO:3000164	36303	Ribosomal RNA methyltransferase conferring antibiotic resistance	1929280
ARO:3000165	36304	tet(A)	8821947;15837373
ARO:3000166	36305	tet(B)	15837373
ARO:3000167	36306	tet(C)	6307828
ARO:3000648	36992	ceftibuten	7520858;9296244
ARO:3003462	40055	antibiotic resistant kasA	10428945
ARO:3000645	36989	cefotaxime	2083516
ARO:3000646	36990	cefixime	2684593
ARO:3000647	36991	cefpodoxime	1280571;18611588
ARO:3003463	40056	Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid	30337678;10428945;9616124
ARO:3000649	36993	cefditoren	7813385
ARO:3000182	36321	tet(Y)	15837373
ARO:3000183	36322	tet(Z)	15837373
ARO:3000184	36323	chloroeremomycin	11942828;11035791;9545426
ARO:3002513	38913	LRA-19	18843302
ARO:3002455	38855	LEN-2	15215087
ARO:3000199	36338	gramicidin D	9672588;17572379
ARO:3000200	36339	gramicidin S	10590309;8836773
ARO:3002437	38837	OKP-B-4	16304190
ARO:3000202	36341	Cfr-like 23S rRNA methyltransferase	28663118;22547628;23752511;20598637;20144045;11476839;17555436
ARO:3000203	36342	hydrolysis of beta-lactam antibiotic by metallo-beta-lactamase	20564281
ARO:3002440	38840	OKP-B-7	16304190
ARO:3000632	36976	benzylpenicillin	4610013
ARO:3000213	36352	restructuring of bacterial cell wall conferring antibiotic resistance	1931965;9177243
ARO:3000458	36597	macrolide glycosyltransferase	17376874
ARO:3000446	36585	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	11796355;21421794;22252810;8067768;11599741
ARO:0000061	35978	ceftobiprole	22064544
ARO:0000062	35979	ceftriaxone	6810737
ARO:3000004	36013	class B (metallo-) beta-lactamase	15215079;14629034
ARO:3003070	39600	vanX gene in vanD cluster	12499162
ARO:3000780	37160	adeI	18086852
ARO:3000786	37166	MdsABC	39816264;17919284;20497225
ARO:3002453	38853	OKP-B-20	19128913
ARO:3002545	38945	AAC(6')-Ia	2826403;1314803
ARO:3000664	37008	trovafloxacin	8043036
ARO:3001714	38114	OXA-215	22128805
ARO:3000834	37214	phoP	24412662
ARO:3002563	38963	AAC(6')-Isa	15625322
ARO:3002399	38799	OXY-2-4	10223957
ARO:3002571	38971	AAC(6')-Iaa	12679553
ARO:3002797	39231	QnrS8	26618005
ARO:3002400	38800	OXY-2-5	12807183
ARO:3002417	38817	OKP beta-lactamase	16304190;22143810
ARO:3001225	37624	megalomycin	5810991
ARO:3002516	38916	OCH-3	11451692
ARO:3001084	37464	SHV-26	11502506
ARO:3002462	38862	LEN-12	15215087
ARO:3000104	36243	determinant of aminoglycoside resistance	20833577
ARO:3000111	36250	novobiocin	10770754;4680802;8231802
ARO:3000113	36252	vga-type ABC-F protein	20876620;21768510;15728891
