	isoniazid	rifampin	ethambutol	pyrazinamide	amikacin	capreomycin	ethionamide	kanamycin	ofloxacin	para_aminosalicylic_acid	streptomycin	moxifloxacin	prothionamide	cycloserine	rifabutin	pyrazinamide_nicotinamide	nicotinamide
GCA_001382415.1	1	1	0	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001382535.1	1	1	0	1	0	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001382555.1	1	1	1	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001379655.1	1	1	1	1	0	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001379435.1	1	1	0	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001378835.1	1	1	0	0	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001378555.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001322725.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383115.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383295.1	1	1	1	1	1	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001383375.1	1	1	1	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001382675.1	1	1	1	1	1	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001382775.1	1	1	0	0	0	0	2	2	1	2	1	2	0	2	2	2	2
GCA_001324065.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001384335.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001384635.1	1	1	1	0	0	0	2	2	1	2	1	0	0	2	2	2	2
GCA_001379555.1	1	1	1	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001323505.1	1	1	0	1	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001323465.1	1	1	0	0	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001380695.1	1	1	1	0	1	0	2	2	0	2	1	2	1	2	2	2	2
GCA_001380655.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001384755.1	1	1	0	0	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001384915.1	1	1	0	0	0	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001385495.1	1	1	0	1	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001386035.1	1	1	1	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001380435.1	1	1	0	0	0	0	2	2	1	2	0	1	1	2	2	2	2
GCA_001323205.1	1	1	0	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001380795.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
