	methicillin	clindamycin	erythromycin	penicillin	ciprofloxacin	gentamicin	tetracycline	cefoxitin	levofloxacin	oxacillin	trimethoprim_sulfamethoxazole	moxifloxacin	penicillin_clavulanic_acid
GCA_015716425.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716465.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716405.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716485.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716505.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716385.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729105.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729045.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015728905.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729185.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729265.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729325.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729245.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715945.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715965.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015729205.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716085.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716025.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716045.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716125.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716165.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717185.1	1	2	2	2	2	2	2	2	2	2	2	2	2
