	chloramphenicol	trimethoprim_sulfamethoxazole	ampicillin	nalidixic_acid	ciprofloxacin	amoxicillin_clavulanic_acid	ceftriaxone	azithromycin	sulfisoxazole	cefoxitin	gentamicin	tetracycline	ceftiofur	kanamycin	enrofloxacin	streptomycin	ceftazidime	colistin	ampicillin_sulbactam	cefotaxime	spectinomycin	sulfamethoxazole	trimethoprim	cefazolin	sulphathiazole
GCA_001478795.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	2	2	2	2	2	2	2	2
GCA_008518545.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008474485.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008474605.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008474585.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008411745.1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008411665.1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008552215.1	1	0	1	0	0	1	1	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008469425.1	1	0	1	0	0	1	1	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008516785.1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008469465.1	1	0	1	0	0	1	1	0	1	1	1	0	1	2	2	0	2	2	2	2	2	2	2	2	2
GCA_008472685.1	1	0	1	0	0	1	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_001478905.1	1	0	1	0	0	1	1	0	1	1	0	0	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_007177395.1	0	0	0	0	0	0	0	2	2	0	0	1	0	0	2	2	2	2	2	2	2	0	2	2	2
