	ampicillin	vancomycin	gentamicin	tetracycline	doxycycline	linezolid	streptomycin
GCA_004151685.1	2	1	2	2	2	0	2
GCA_004152375.1	2	1	2	2	2	0	2
GCA_004151665.1	2	1	2	2	2	0	2
GCA_004151705.1	2	1	2	2	2	1	2
GCA_004152325.1	2	1	2	2	2	1	2
GCA_042707375.1	2	0	2	2	2	2	2
GCA_015402105.1	2	0	2	2	2	2	2
GCA_045021175.1	2	0	2	2	2	2	2
GCA_042699085.1	2	0	2	2	2	2	2
GCA_015402485.1	2	0	2	2	2	2	2
GCA_015402445.1	2	0	2	2	2	2	2
GCA_042714075.1	2	0	2	2	2	2	2
GCA_015446285.1	2	0	2	2	2	2	2
GCA_004152285.1	2	0	2	2	2	1	2
GCA_004152305.1	2	0	2	2	2	1	2
GCA_004152265.1	2	0	2	2	2	1	2
GCA_004152575.1	2	0	2	2	2	1	2
GCA_004152185.1	2	0	2	2	2	1	2
GCA_004152485.1	2	0	2	2	2	1	2
GCA_004152085.1	2	0	2	2	2	1	2
GCA_004152005.1	2	0	2	2	2	1	2
GCA_004152365.1	2	0	2	2	2	1	2
GCA_004151695.1	2	0	2	2	2	0	2
GCA_000161855.1	2	2	2	1	2	2	2
GCA_005238875.1	2	2	2	1	2	2	2
GCA_005237065.1	2	2	2	1	2	2	2
GCA_005237055.1	2	2	2	1	2	2	2
GCA_005238815.1	2	2	2	1	2	2	2
GCA_005238785.1	2	2	2	1	2	2	2
GCA_005238985.1	2	2	2	0	2	2	2
GCA_005238665.1	2	2	2	0	2	2	2
GCA_005238515.1	2	2	2	0	2	2	2
GCA_005238475.1	2	2	2	0	2	2	2
GCA_005238445.1	2	2	2	0	2	2	2
GCA_005238805.1	2	2	2	0	2	2	2
