	ampicillin	vancomycin	gentamicin	tetracycline	doxycycline	linezolid	streptomycin
GCA_015437405.1	1	1	2	2	2	2	2
GCA_015437305.1	1	1	2	2	2	2	2
GCA_015437285.1	1	1	2	2	2	2	2
GCA_015437325.1	1	0	2	2	2	2	2
GCA_015437225.1	1	0	2	2	2	2	2
GCA_015436585.1	1	1	2	2	2	2	2
GCA_015436685.1	1	1	2	2	2	2	2
GCA_015435345.1	1	0	2	2	2	2	2
GCA_015435405.1	1	1	2	2	2	2	2
GCA_015435705.1	1	0	2	2	2	2	2
GCA_015436645.1	1	1	2	2	2	2	2
GCA_015436545.1	1	0	2	2	2	2	2
GCA_015438425.1	1	0	2	2	2	2	2
GCA_015436625.1	1	0	2	2	2	2	2
GCA_015436565.1	1	1	2	2	2	2	2
GCA_015435445.1	1	1	2	2	2	2	2
GCA_015436505.1	1	1	2	2	2	2	2
GCA_015436405.1	1	1	2	2	2	2	2
GCA_015436345.1	1	0	2	2	2	2	2
GCA_015436245.1	1	0	2	2	2	2	2
GCA_015436085.1	1	1	2	2	2	2	2
GCA_015436005.1	1	1	2	2	2	2	2
GCA_015435965.1	1	1	2	2	2	2	2
GCA_015436025.1	1	0	2	2	2	2	2
GCA_015436805.1	1	1	2	2	2	2	2
GCA_015436445.1	1	1	2	2	2	2	2
GCA_015435925.1	1	0	2	2	2	2	2
GCA_015435595.1	1	1	2	2	2	2	2
GCA_015435585.1	1	1	2	2	2	2	2
GCA_015435225.1	1	0	2	2	2	2	2
GCA_015435505.1	1	1	2	2	2	2	2
GCA_015435725.1	1	0	2	2	2	2	2
GCA_015435745.1	1	1	2	2	2	2	2
GCA_015436825.1	1	1	2	2	2	2	2
GCA_015435565.1	1	1	2	2	2	2	2
GCA_015435305.1	1	0	2	2	2	2	2
GCA_015434625.1	1	0	2	2	2	2	2
GCA_015434565.1	1	0	2	2	2	2	2
GCA_015433855.1	1	1	2	2	2	2	2
GCA_015434545.1	1	0	2	2	2	2	2
GCA_015434485.1	1	0	2	2	2	2	2
GCA_018086565.1	1	1	2	2	2	2	2
GCA_015434505.1	1	0	2	2	2	2	2
GCA_015433685.1	1	0	2	2	2	2	2
GCA_015433605.1	1	1	2	2	2	2	2
GCA_015434445.1	1	1	2	2	2	2	2
GCA_015434395.1	1	0	2	2	2	2	2
GCA_018086545.1	1	1	2	2	2	2	2
GCA_015434385.1	1	1	2	2	2	2	2
GCA_015434465.1	1	0	2	2	2	2	2
GCA_015434845.1	1	1	2	2	2	2	2
GCA_018086485.1	1	1	2	2	2	2	2
GCA_015434355.1	1	0	2	2	2	2	2
GCA_015434325.1	1	0	2	2	2	2	2
GCA_015434285.1	1	0	2	2	2	2	2
GCA_015434265.1	1	1	2	2	2	2	2
GCA_015434245.1	1	1	2	2	2	2	2
GCA_015434205.1	1	0	2	2	2	2	2
GCA_015434185.1	1	0	2	2	2	2	2
GCA_015433525.1	1	1	2	2	2	2	2
GCA_015434125.1	1	1	2	2	2	2	2
GCA_015434145.1	1	1	2	2	2	2	2
GCA_015434085.1	1	0	2	2	2	2	2
GCA_015434025.1	1	1	2	2	2	2	2
GCA_015434805.1	1	0	2	2	2	2	2
GCA_015434685.1	1	1	2	2	2	2	2
GCA_015434005.1	1	0	2	2	2	2	2
GCA_015433985.1	1	0	2	2	2	2	2
GCA_015433925.1	1	1	2	2	2	2	2
GCA_015433945.1	1	1	2	2	2	2	2
GCA_015433905.1	1	1	2	2	2	2	2
GCA_015433825.1	1	1	2	2	2	2	2
GCA_015433765.1	1	0	2	2	2	2	2
GCA_015429845.1	1	1	2	2	2	2	2
GCA_015435005.1	1	1	2	2	2	2	2
GCA_018086385.1	1	1	2	2	2	2	2
GCA_018086405.1	1	1	2	2	2	2	2
GCA_015435065.1	1	1	2	2	2	2	2
GCA_015431505.1	1	1	2	2	2	2	2
GCA_015431485.1	1	1	2	2	2	2	2
GCA_018086425.1	1	2	2	2	2	2	2
GCA_015428565.1	1	0	2	2	2	2	2
GCA_015431445.1	1	1	2	2	2	2	2
GCA_015428405.1	1	1	2	2	2	2	2
GCA_015428745.1	1	1	2	2	2	2	2
GCA_015428385.1	1	1	2	2	2	2	2
GCA_015428485.1	1	1	2	2	2	2	2
GCA_018086345.1	1	1	2	2	2	2	2
GCA_015428305.1	1	0	2	2	2	2	2
GCA_018086285.1	1	1	2	2	2	2	2
GCA_015427985.1	1	1	2	2	2	2	2
GCA_015427945.1	1	1	2	2	2	2	2
GCA_015431385.1	1	1	2	2	2	2	2
GCA_015431345.1	1	1	2	2	2	2	2
GCA_015427845.1	1	1	2	2	2	2	2
GCA_015431665.1	1	1	2	2	2	2	2
GCA_015431745.1	1	0	2	2	2	2	2
GCA_015431725.1	1	1	2	2	2	2	2
GCA_015431395.1	1	1	2	2	2	2	2
GCA_015431305.1	1	0	2	2	2	2	2
GCA_015431205.1	1	2	2	2	2	2	2
GCA_015430685.1	1	1	2	2	2	2	2
GCA_015430725.1	1	1	2	2	2	2	2
GCA_015430655.1	1	1	2	2	2	2	2
GCA_015430705.1	1	0	2	2	2	2	2
GCA_015430285.1	1	0	2	2	2	2	2
GCA_015428125.1	1	1	2	2	2	2	2
GCA_015430545.1	1	0	2	2	2	2	2
GCA_015430465.1	1	0	2	2	2	2	2
GCA_015430485.1	1	1	2	2	2	2	2
GCA_015428065.1	1	1	2	2	2	2	2
GCA_015430385.1	1	0	2	2	2	2	2
GCA_015429945.1	1	1	2	2	2	2	2
GCA_015430405.1	1	0	2	2	2	2	2
GCA_015429745.1	1	1	2	2	2	2	2
GCA_015430365.1	1	1	2	2	2	2	2
GCA_015430065.1	1	1	2	2	2	2	2
GCA_015430005.1	1	1	2	2	2	2	2
GCA_015430025.1	1	0	2	2	2	2	2
GCA_015429625.1	1	1	2	2	2	2	2
GCA_015430885.1	1	1	2	2	2	2	2
GCA_015429685.1	1	1	2	2	2	2	2
GCA_015431045.1	1	1	2	2	2	2	2
GCA_015430855.1	1	1	2	2	2	2	2
GCA_015430905.1	1	0	2	2	2	2	2
