	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_000792515.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000792505.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792465.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000792475.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000792425.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000795565.1	2	2	0	2	1	2	2	1	2	0	2	2	2	2
GCA_000795485.1	2	2	0	1	1	2	2	1	2	0	2	2	2	2
GCA_000795425.1	2	2	0	1	1	2	2	1	2	0	2	2	2	2
GCA_000795385.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000795345.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000795325.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000795305.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000795285.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000795225.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000795185.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000796385.1	2	2	0	0	0	2	2	0	2	2	2	2	2	2
GCA_000795165.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000795145.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000795115.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000795105.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000794995.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000794865.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000794845.1	2	2	0	2	1	2	2	0	2	0	2	2	2	2
GCA_000794265.1	2	2	0	1	1	2	2	1	2	0	2	2	2	2
GCA_000794485.1	2	2	0	0	0	2	2	0	2	2	2	2	2	2
GCA_000794425.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000794455.1	2	2	0	0	0	2	2	1	2	2	2	2	2	2
GCA_000795085.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000795065.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000795025.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000794745.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000794705.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000794675.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000794665.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000794625.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000794185.1	2	2	0	1	1	2	2	1	2	0	2	2	2	2
GCA_000794175.1	2	2	0	1	0	2	2	0	2	0	2	2	2	2
GCA_000794165.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000794095.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000794085.1	2	2	0	0	1	2	2	1	2	0	2	2	2	2
GCA_000793905.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793885.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000793865.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793845.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793985.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793955.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000793915.1	2	2	0	1	0	2	2	0	2	0	2	2	2	2
GCA_000793615.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000793725.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793825.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793805.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792975.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000792965.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000792945.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792925.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000792895.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000792855.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000792845.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000793105.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000793085.1	2	2	0	0	1	2	2	1	2	0	2	2	2	2
GCA_000793045.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000793025.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000793005.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793245.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000793255.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000793225.1	2	2	0	1	0	2	2	0	2	0	2	2	2	2
GCA_000793205.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000793185.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793385.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793315.1	2	2	0	0	1	2	2	1	2	0	2	2	2	2
GCA_000793295.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793285.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793445.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000793395.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000793415.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000796205.1	2	2	0	0	0	2	2	1	2	2	2	2	2	2
GCA_000796175.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796145.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796085.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796095.1	2	2	0	0	0	2	2	0	2	2	2	2	2	2
GCA_000796465.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796475.1	2	2	0	1	0	2	2	1	2	2	2	2	2	2
GCA_000796445.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796425.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796065.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000796005.1	2	2	0	0	0	2	2	0	2	2	2	2	2	2
GCA_000795985.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000795735.1	2	2	0	2	0	2	2	0	2	2	2	2	2	2
GCA_000795585.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000796555.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000796545.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000796525.1	2	2	0	0	1	2	2	0	2	0	2	2	2	2
GCA_000796325.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000796255.1	2	2	0	0	0	2	2	1	2	0	2	2	2	2
GCA_000797355.1	2	2	0	0	1	2	2	0	2	0	2	2	2	2
GCA_000797345.1	2	2	0	1	1	2	2	1	2	0	2	2	2	2
GCA_000797325.1	2	2	0	2	1	2	2	0	2	0	2	2	2	2
GCA_000797305.1	2	2	0	0	1	2	2	1	2	0	2	2	2	2
GCA_000797285.1	2	2	0	0	1	2	2	1	2	0	2	2	2	2
GCA_000797265.1	2	2	0	2	1	2	2	1	2	0	2	2	2	2
GCA_000797245.1	2	2	0	0	1	2	2	0	2	0	2	2	2	2
GCA_000797225.1	2	2	0	2	1	2	2	1	2	0	2	2	2	2
GCA_000797105.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000797055.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000797045.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000797005.1	2	2	0	0	0	2	2	0	2	0	2	2	2	2
GCA_000796955.1	2	2	0	2	0	2	2	1	2	0	2	2	2	2
GCA_000796865.1	2	2	0	1	0	2	2	1	2	0	2	2	2	2
GCA_000796825.1	2	2	0	2	1	2	2	1	2	0	2	2	2	2
GCA_000796765.1	2	2	0	2	0	2	2	0	2	0	2	2	2	2
GCA_000710625.1	2	2	0	0	2	2	2	1	2	2	2	2	2	1
GCA_000937465.2	2	2	0	1	2	2	2	1	2	2	2	1	2	1
GCA_001910265.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909645.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910215.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910305.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910285.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910055.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909795.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909615.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910425.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909825.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910375.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909445.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909655.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909605.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909585.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909495.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909455.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910345.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910045.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909775.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910365.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909485.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910115.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001910105.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909945.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_001909675.1	2	2	2	1	2	2	1	2	2	2	2	2	2	2
GCA_025696595.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025696545.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025696875.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025696945.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025697485.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025697495.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025697785.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025697755.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025697885.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025697945.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025698575.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
GCA_025698675.1	2	2	2	1	2	2	2	2	2	2	2	2	2	2
