	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_000481685.1	0	1	2	1	0	0	0	1	2	1	2	2	2	2
GCA_000481665.1	0	1	2	0	0	0	1	1	2	0	2	2	2	2
GCA_000481645.1	0	1	2	0	0	0	1	1	2	1	2	2	2	2
GCA_000481625.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000481585.1	0	1	2	1	0	1	1	1	2	1	2	2	2	2
GCA_000481545.1	0	0	2	0	1	1	0	1	2	0	2	2	2	2
GCA_000481525.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481505.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481485.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481465.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000481445.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481425.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481405.1	0	0	2	1	0	0	0	0	2	0	2	2	2	2
GCA_000481385.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481365.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000481345.1	0	0	2	1	0	0	0	0	2	0	2	2	2	2
GCA_000481325.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000481305.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481285.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000481265.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481245.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481225.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481205.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000481185.1	0	1	2	0	1	0	1	0	2	0	2	2	2	2
GCA_000481165.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481145.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520455.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520435.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520415.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520395.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520375.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000520355.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000520335.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520315.1	0	0	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000520295.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520275.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520255.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520235.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000481125.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481105.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481085.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000481065.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481045.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000481025.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000481005.1	0	1	2	1	0	0	0	1	2	1	2	2	2	2
GCA_000480985.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480965.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480945.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480925.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
