	amikacin	ceftazidime	ciprofloxacin	gentamicin	imipenem	meropenem	tetracycline	tobramycin	ceftriaxone	cefepime	levofloxacin	minocycline	ampicillin_sulbactam	doripenem	trimethoprim_sulfamethoxazole	piperacillin_tazobactam
GCA_002136775.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137875.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137895.1	1	1	1	1	0	0	2	2	2	1	2	1	0	1	2	1
GCA_002137225.1	1	1	1	1	1	1	2	2	2	1	2	0	0	1	2	1
GCA_002138375.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002138345.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002138305.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002138315.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002138295.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002138245.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002138215.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002138165.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002138115.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002138035.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002138005.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137345.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137295.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002137285.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002145095.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002143855.1	1	0	0	1	0	0	2	2	2	0	2	0	0	0	2	1
GCA_002143965.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002143775.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143795.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143785.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143715.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143685.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002143675.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143655.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143625.1	1	1	1	1	0	1	2	2	2	1	2	1	1	0	2	1
GCA_002143575.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
